target,output
1056,39.07
2600,120
1440,62
1521,95
1200,51
1170,38
2732,204
3300,600
1310,63.25
1020,370
1800,70
2785,295
1000,38
1100,40
2250,148
1175,73.5
1180,48
1540,60
2770,290
1100,48
600,15
1755,122
2800,380
1767,103
510,25.25
1250,56
660,23.1
1610,81
1151,48.77
1025,47
2100,186
1075,35
1760,123
1693,57.39
1925,125
700,36
1070,45.5
1724,125
1290,56.12
1143,45
1296,81
1254,38
600,38
660,48
1330.74,91.79
600,200
970,33
1459,94.82
800,130
869,36
1270,50
1670,99
2010,91
1185,75
1600,75
1200,44
3010,192
1500,185
1407,150
840,45
4395,240
845,55
5700,650
1160,44
3000,140
1100,62
1140,43
1220,57
1350,85
1005,36.68
500,100
1358,80.58
1569,101
1240,70
2089,140
1206,48.23
1150,40
2511,205
460,22
4400,250
1660,105
2957,224.5
1326,78
1325,60.8
1499,102
3000,210
1665,88
708,37
1060,58.06
710,160
1000,70
1000,28.88
1450,70
1200,155
1296,80
1540,90
2894,245
1330,48
1200,65
1200,90
2502,138
650,17
2400,150
1007,43
1200,50
966,49.9
1630,98
1640,229
782,55.68
1260,66.78
1800,120
1413,75
1116,51.91
1530,45.9
3700,225
2497,140
1540,64
1436,74.75
1100,75
276,23
1427,120
2061,200
3067,477
2650,150
1282,68.52
1050,34
1600,65
945,54
1500,78
950,115
1870,110
1600,75
880,16.5
1200,210
1535,83
950,57
1360,65
1042,54.005
1280,50.4
1260,85.05
5000,250
3050,213
1563.05,105
1000,60
1167,43.76
4000,225
1828,110
890,35
1612,46.74
1034,185
1710,91.31
957,58
1250,44
2795,235
1125,50
1020,30.6
1200,50
1735,135
2050,145
3750,760
1350,48
1063,32
1904,150
4200,420
2000,175
1145,43.49
1425,75
1500,64.5
1060,60
1470,70
1300,99
450,11
1152,64.5
1350,56
1550,65
1500,100
600,85
400,14
705,67
770,36
1242,51
1700,155
2144,145
1704,110
1070,52
1846,300
1340,55.7
1025,46
1015,56.8
1200,52
2250,110
1550,80
1200,325
1800,250
1200,60
1327,98
1186,58
1783,115
1400,56
980,48
1285,82
912,70
1225,47.6
1075,53
1260,54
1282,48.7
1909,88
1359,87
1207,43.5
1736,190
2850,428
1595,65
1798,89
1475,78.29
1580,100
1295,65
3600,141
589,27
1415,78
1787,98.29
1787,125
1475,90
2000,75.5
984,44.28
1520,74.82
2405,260
1080,72
1500,115
1900,119
805,22.14
1153,56.4
1148,60
1110,55
1100,42
1290,110
1500,65
1080,39
1933,129
3500,150
1060,60
645,16.45
2600,180
645,16.45
1644,84
1285,72.5
1200,90
910,40
1577,70
4050,280
2420,185
800,20
1060,55
1270,93
900,22.5
1280,69
1200,95
1025,36
1108,63
1200,170
3045,170
2900,300
1500,75.5
1295,43.9
1162,59.9
1035,49.2
1600,52.8
1464,46
1866,61.58
700,26
1804,120
913,32
1868,131
883,45
900,110
1664,73.95
2026,132
1210,80.9
4111,250
1762,91.45
1252,55
861,34.5
1420,100
1450,250
1490,78.8
1075,46
1425,94
1200,40
1280,56
1084,50
1015,25.88
1017,51.25
1027,44
1069,45
1349,98.2
1005,50
1417,75
1475,98
950,47
2000,120
880,140
1863,104
1010,29.5
1425,70
1450,100
1847,105
1100,45
525,26
1665,95
1664,65
1850,150
1438,100
1560,115
1350,55.55
1550,67
1140,46.5
1200,180
850,27
1280,75
1170,52
1113,51
1385,83.09
1128,65
1200,128
1200,165
2390,415
2400,400
1464,56
1200,55
1200,52
1150,55
1645,95
1000,67
2650,198
1192,74
2135,215
1173,58
1020,45
3122,230
1600,64
1200,79
1230,48
1250,40
1325,76
1850,150
525,21.53
1200,65
1350,140
1260,49.36
1800,150
11,74
1100,43.25
1508,77
1592,75
1388,57
630,28.35
2000,365
1762,125
950,50
3252,335
1116,50
1308,89.04
1200,90
1500,230
500,18.5
1075,52
530,11.66
1205,66
1075,60
930,39
1380,60
2483,212
1166,55
1050,65
2023.71,275
1200,46.8
1600,108
1935,110
451,29.9
1800,95
1400,77
1801,115
1451,90
1200,36
1160,44
1000,25
950,40
1629,79
1580,134
1826,121
1245,94
1145,45.79
825,33
1693,108
1113.27,53
1460,58
1050,32
1260,55
700,120
1656,120
1208,45
1910,161
3252,230
1200,65
1200,175
1175,82
1000,165
1200,125
2390,410
12000,2200
550,62
34.46,18.5
1185,38
750,38
1200,250
1550,64.5
1760,88
1125,62
1350,150
1000,55
1090,31.48
1200,60
1991,103
1060,26.5
1105,75
985,67
1533,85
1590,79
1120,55
1069,55
1933,140
1194,69
1150,69
1240,47.12
1419,48.1
1200,250
2150,240
1450,55
1630,68.29
708,40
1000,110
11890,700
1250,76
1400,95
1670,57
1750,100
1404,71
1715,95
630,34.65
1752.12,135
1650,78
1295,55.47
1800,252
1346,74.03
1200,200
1150,55
3309,325
1190,30.35
1620,98
950,46.96
5000,360
2450,120
1220,35.23
850,30
1020,63
1100,50
1150,126
1760,130
1800,110
1070,54
1500,220
1440,95
900,40
1200,230
1130,42.16
1320,165
1270,98
1200,62
4800,235
1200,74
929,50.17
1150,260
1125,180
500,65
1200,190
1464,56
3600,400
2000,99
1208,49
1130,60
1753,120
4500,337
600,58
1196,94.42
1150,52.5
1128,63
1000,53
1035,45
950,32
1075,36
1040,48.5
720,45
1511,95
1300,58
1545,68.75
375,26
1062,38
1115,40
1000,35
883,45
1195,70
1200,165
700,41
1246,67
660,90
8500,145
1600,80
2805,154
1584,65
3000,275
1175,48
1595,115
1353,110
1599,125
1150,70
5230,465
1155,42.74
1200,85
1000,25
3000,120
1867,160
1251,47
1028,45.5
1222,45
1170,66
2400,245
1385,48.48
1372,68
1282,49
5000,210
3000,528
1135,39.73
1768,101
1325,90
1599,99
1500,61.95
2610,499
1286,63
2845,140
1600,50
1195,63.77
3450,260
1102,53.67
1350,54
1200,42
1300,145
1800,80
950,40
525,27.25
656,25
1780,175
1056,80
595,33.32
1080,50
2225,160
1126,28.15
1490,84
2000,300
1550,100
1600,86
1160,55
4144,315
2100,125
1404,69.3
2230,225
1544,120
1305,58.7
1230,80
1200,65
1460,73
1200,34.185
967,45
540,36
715,46
2500,313
1578,180
1020,48.95
1020,40
1253,102
1180,42
961,38
1419,75
1709,150
1600,115
416,18.5
1100,98
1430,65
1260,45
1630,85
1249,44.71
1450,85
2791,223
600,90
834,60
1125,70
2060,140
12000,2200
891,25
1133,49.07
1075,37
3000,260
2440,425
1200,55
1075,45.8
1140,40
940,150
2160,250
1090,42
1500,70
4104,360
1790,100
1920,134
1374,95
1445,95
711,36
1500,95
1720,100
1400,60
1030,49
1200,85
1375,70
1050,56
2250,160
1000,50
469,25
3800,250
883,29
1820,86
1440,65
3600,160
2500,325
1225,48
4000,660
875,52.8
750,40
1180,80
1194,47
1500,62
1160,52.2
4125,265
2378,262
1128,60
1500,150
1220,35.23
1210,58
1100,58
1200,46
3385,260
1641,66
1200,45
1260,67.39
1720,78
1120,48.13
1210,45.98
2200,200
1075,45
1702,130
1630,200
1141,38.55
2072,108
4400,375
1200,70
1350,77
3090,445
1180,78.34
35000,130
1355,115
600,50
1200,150
1640,120
1200,100
1190,57
2400,375
1019,49.85
1875,165
1250,40
1200,140
1140,56
1683,109
1515,83.3
2118,111
1380,58
1083,61.75
600,55
2300,120
1240,60
1750,120
1230,43.48
1500,139
985,40.39
1500,87
1125,32.49
950,44
1300,50
1652,85
2072,142
1740,95
1360,71
1145,60
1540,40
1278,95
630,40
1100,58
1200,95
2500,115
520,15.135
1015,25.88
3300,240
4500,415
1356,66
823,28
1200,66
1050,37
1180,69
1116,51.91
1070,42.79
1385,80
1000,70
1897,130
1005,55.78
1575,125
975,65
1904,120
930,30
525,26
686,17
2400,150
1410,233
2238,140
1174,69
3800,239
2225,125
1250,200
918,52
1250,52
1800,110
1170,53
1300,200
793,45
1710,107
1082,57.5
1001,33.03
1500,180
1590,54
2400,80
1554,55
1000,43.415
4239,423
884,58
1045,98.89
1019,49.86
1935,130
1135,39.73
1680,150
2470,247
2825,250
2480,330
1260,290
1800,187
1799,90
3606 ,304
400,11
1047,82
1282,87
1020,45.9
1080,155
1495,79.5
3260,240
1611,64.44
3500,425
1500,95
1500,95
3206,270
1540,50
1639,80
700,72
1303,55.79
1005,110
650 ,18.41
1305,33.28
600,95
1300,115
1440,68
901,35.14
1725,200
900,42
1060,55
1020,48.45
1535,65.99
530,20
1464,56
1350,80
1115,50
1175,47
1113,62
1200,225
1640,240
650,42
1325,71.55
950,31
1396,86.51
1050,52.07
1825,100
1190,49.98
1220,56.5
1565,75
1891,109
900,27
1161,55.15
633 ,17.535
2400,125
315,90
665,36.85
1175,73.5
1425,80
1200,20
1200,56.12
1255,67
2112.95,145
600,22
1810,100
1200,93
1033,49
1548,89.5
1611,66
1400,40.43
1485,67
2400,82
1025,44.5
600,65
1225,53
1256,62.8
2268,163
1100,53
1141,62
400,12
1400,60
4100,140
5.31,110
15,30
1175,48.27
1100,56
1843,95.84
1200,240
1460,80.5
1530,74.5
1467,55
950,40
1246,64.5
711,38
1194,46
1358,43.4
1500,130
1420,75
1250,68.75
1280,58
1209,50
4200,225
1215,205
1315,54.8
1800,90
1600,125
1600,65
3968,900
1563,52
1560,72
2169,115
900,170
1050,55.5
3235,235
1200,66
1140,46
1500,170
1560,75
1100,70
1260,40.32
1036,50
1662,85.1
1464,105
1234,80
1403,55
915,54.9
3000,451
1150,42.9
3900,410
850,90
929,46
2400,450
1350,75
1699,97
2025,109
500,14
500,20
1670,135
1875,235
1200,90
1804,121
2065,210
1225,40
934,58.68
900,56
1350,91
700,36
980,35.175
1160,46.39
1680,99.27
1043,55
1200,120
1040,46
1357,65
1600,104
1225,47
1500,80
1130,40
2500,150
1700,120
1549,65
1400,100
1080,50
1180,100
780,150
1800,150
1225,67.38
890,75
1005,39.59
1320,95
1475,50
1564,99.745
1110,51
1300,54
600,86
1128,65.35
1452.19,100
2400,290
2600,135
2500,325
630,35
1243,48.5
960,32
1690,100
735,35
1365,73
2849,300
1420,99.39
1570,68
850,32
1575,110
1418,104
1050,42
1065,42.6
1340,90
1610,92
1160,33.5
1092,44
1194,47
1455,61.5
